price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
129000,70,-34.5846509,-58.45469326,Chacarita
87000,42,-34.6389789,-58.500115,Villa Luro
118000,54,-34.615847,-58.459957,Caballito
57000,42,-34.6252219,-58.3823825,Constitución
90000,50,-34.6106102,-58.4125107,Once
138000,74,-34.6038236,-58.4272911,Almagro
114000,32,-34.586103,-58.423963,Palermo
82000,50,-34.62651826,-58.47246305,Flores
166000,52,-34.5620844,-58.4566864,Belgrano
136500,71,-34.648143,-58.524277,Liniers
75000,36,-34.596715,-58.444045,Villa Crespo
68000,37,-34.599722,-58.430668,Villa Crespo
80000,55,-34.616182,-58.3926968,San Cristobal
125000,74,-34.6034659,-58.4159718,Almagro
120000,60,-34.6136992,-58.3897597,Congreso
145000,52,-34.5475074,-58.4842066,Saavedra
95000,57,-34.6087015,-58.4039197,Balvanera
155000,55,-34.5975665,-58.4410115,Villa Crespo
300000,90,-34.567093,-58.44709494,Belgrano
95000,44,-34.645401,-58.4931185,Parque Avellaneda
82000,33,-34.6198687,-58.4242176,Almagro
129000,72,-34.618545,-58.443838,Caballito
280000,98,-34.5933599,-58.4124669,Recoleta
125151.86,45,-34.620556,-58.371667,San Telmo
103144.44,45,-34.552129,-58.46838,Nuñez
118885,35,-34.5620844,-58.4566864,Belgrano
190000,55,-34.5892291,-58.3909376,Recoleta
157000,74,-34.6206701,-58.4280921,Caballito
119000,50,-34.617869,-58.422687,Almagro
290000,82,-34.597239,-58.39755155,Recoleta
149000,76,-34.6044029,-58.418703,Almagro
199000,63,-34.5628985,-58.4652556,Belgrano
74400,31,-34.6171601,-58.4566753,Caballito
130000,70,-34.624943,-58.416152,Almagro
140000,83,-34.5995053,-58.4019575,Barrio Norte
179869,71,-34.61098,-58.417856,Almagro
89000,33,-34.554535,-58.455713,Belgrano
80000,40,-34.6266557,-58.4562243,Flores
40711.36,34,-34.60761229,-58.44015243,Parque Centenario
84000,38,-34.603367,-58.4095145,Abasto
110000,44,-34.5987952,-58.431148,Villa Crespo
115000,67,-34.546801,-58.478304,Saavedra
137500,46,-34.5607997,-58.4661541,Belgrano
88000,33,-34.5990818,-58.3791226,Centro / Microcentro
115000,65,-34.60856606,-58.39925557,Once
83000,40,,,
107000,64,-34.6055653,-58.4042304,Once
129500,46,-34.6050835,-58.4608111,Paternal
160000,48,-34.586177,-58.395407,Recoleta
97000,43,,,
84000,35,-34.5493135,-58.4646149,Nuñez
85000,38,-34.6200825,-58.3895203,San Cristobal
90000,35,-34.556844,-58.457941,Belgrano
27279,31,-34.5413289,-58.473409,Saavedra
230000,63,-34.582627,-58.451825,Chacarita
64900,38,-34.663879,-58.51298,Mataderos
90000,35,-34.5832049,-58.4444227,Palermo
142200,65,-34.6603056,-58.5235778,Villa Lugano
140000,85,-34.616845,-58.428002,Almagro
114000,44,-34.570611,-58.447624,Belgrano
122000,61,-34.6315375,-58.4541557,Flores
99969.74,42,-34.62207756,-58.40409595,Almagro
80000,38,-34.56123,-58.465719,Belgrano
120000,44,-34.57609766,-58.47076131,
112000,70,-34.6254543,-58.4161104,Almagro
85000,34,-34.5675671,-58.4733152,Coghlan
150000,83,-34.6188022,-58.3876241,San Cristobal
86500,46,-34.599277,-58.420179,Almagro
92400,44,-34.6039192,-58.4556556,Villa Crespo
110000,62,-34.618893,-58.461994,Flores
122000,60,-34.61489937,-58.40969183,San Cristobal
271000,72,-34.567984,-58.4337562,Las Cañitas
170000,52,-34.583263,-58.431945,Palermo
235000,62,-34.5750392,-58.4717864,Belgrano
165000,43,-34.5526272,-58.4546542,Belgrano
170000,48,-34.5707228,-58.4801833,Villa Urquiza
84000,50,-34.6114169,-58.3833629,Monserrat
90000,38,-34.6006047,-58.4313315,Villa Crespo
140000,55,-34.57515432,-58.43831608,Palermo
99000,41,-34.5881967,-58.5014288,Villa Pueyrredón
95000,40,-34.605237,-58.424402,Almagro
155000,55,-34.622597,-58.4637637,Flores
147000,83,-34.606622,-58.384362,Monserrat
156000,57,-34.5893031,-58.5050324,Villa Pueyrredón
79000,40,-34.606709,-58.466095,Paternal
110000,50,-34.62423522,-58.36963838,San Telmo
158000,64,-34.5961219,-58.4255006,Almagro
249000,93,-34.572892,-58.482349,Villa Urquiza
146000,74,-34.6231484,-58.4471452,Caballito
158000,87,-34.602288,-58.45364,Villa Crespo
92000,42,-34.6416277,-58.5010498,Villa Luro
92000,45,-34.6325264,-58.4095956,Parque Patricios
99000,46,-34.6207818,-58.3985397,Balvanera
250000,77,-34.56404,-58.43864,Belgrano
112000,72,-34.6001061,-58.3793374,San Nicolás
120000,37,-34.615972,-58.430083,Caballito
189000,84,-34.574731,-58.478951,Villa Urquiza
95000,49,-34.5981092,-58.4975629,Villa del Parque
116000,47,-34.602148,-58.426806,Almagro
85000,43,-34.6335163,-58.4229282,Boedo
71500,42,-34.6285036,-58.4271703,Caballito
37983,47,-34.5413289,-58.473409,Nuñez
110000,41,-34.636739,-58.498882,Villa Luro
120000,67,-34.603933,-58.376359,Centro / Microcentro
90000,40,-34.5990666,-58.4134843,Palermo
85000,47,-34.6421604,-58.423024,Parque Chacabuco
95000,98,,,Barracas
105000,37,-34.6036844,-58.3815591,Villa Crespo
58000,59,-34.643906,-58.449025,Flores
108432.25,45,-34.6176481,-58.4619167,Caballito
250000,100,-34.59731567,-58.3966103,Barrio Norte
265000,80,-34.5731012,-58.4611833,Belgrano
79000,35,-34.5583606,-58.4481081,Belgrano
81360,36,-34.586418,-58.504636,Villa Pueyrredón
108000,38,-34.5801265,-58.425019,Palermo
128260,48,-34.61098,-58.417856,Almagro
136000,45,-34.5978249,-58.416439,Barrio Norte
210000,95,-34.5988783,-58.4320965,Palermo
130730.17,50,-34.626917,-58.425295,Boedo
166000,57,-34.576241,-58.485449,Villa Urquiza
156000,70,-34.6015602,-58.4343171,Almagro
165000,62,-34.6207509,-58.4365858,Caballito
76095.39,35,-34.6267687,-58.4252038,Boedo
184000,63,-34.623771,-58.440083,Caballito
133000,50,,,
94635,38,-34.5688712,-58.4884216,Villa Urquiza
184150,36,-34.590836,-58.389015,Recoleta
179500,70,-34.555221,-58.455583,Belgrano
64000,34,-34.6146153,-58.4040591,Once
280000,75,-34.5877285,-58.4112605,Palermo
106000,43,-34.5631975,-58.4642925,Belgrano
99000,48,-34.6119413,-58.4423251,Caballito
105500,46,-34.60808733,-58.43089266,Parque Centenario
165000,61,-34.5831329,-58.4208369,Palermo
120000,85,-34.6132035,-58.4120075,Almagro
93000,47,-34.584814,-58.481222,Parque Chas
149000,35,-34.5889201,-58.4002698,Barrio Norte
185000,63,-34.6385261,-58.5058609,Villa Luro
57000,33,-34.6055229,-58.4057152,Balvanera
122000,43,-34.5817888,-58.449509,Colegiales
181000,47,-34.5427503,-58.4601452,Nuñez
330000,77,-34.5870824,-58.408834,Barrio Norte
150000,85,-34.6120655,-58.4057337,Once
130000,70,-34.600257,-58.452734,Villa Crespo
115000,47,-34.5444571,-58.4790724,Saavedra
83850,38,-34.6256447,-58.4611155,Flores
